Endpoint Name,Site,Last Logged In User,Group,Domain,Account,Console Visible IP,Agent Version,Last Active,Subscribed On,Health Status,Device Type,OS,OS Version,Architecture,Memory,CPU Count,Core Count,MAC Address,Management Connectivity,Network Status,Update Status,Scan Status,IP Addresses,Pending Uninstall,Disk Encryption,Vulnerability Status,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Locations,Agent Operational State,Agent Last Reboot Date
BRR113,Default site,trisha,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:25.621396Z,2020-12-16T21:17:58.220640Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,4,4,"['18:60:24:e4:61:f1', '18:60:24:e4:61:f1']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde85a1b0>Z),"['192.168.0.173', 'fe80::3d0e:580f:22e5:6f62']",No,Off,Up to date,aafc59bd2827493fbc3e2a3fa0cd7912,1047944155162477206,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:48
BRRABACUS,Default site,N/A,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:25.876517Z,2021-01-18T16:45:00.230951Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,32 GB,8,8,"['00:15:5d:02:94:02', '00:15:5d:02:94:02']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde85a4b0>Z),"['192.168.0.12', 'fe80::e91e:6cee:a772:c31a']",No,Off,Requires patching,e6752497e8ab4518b982e301bdf663f0,1071724365714849883,N/A,N/A,['Fallback'],Not disabled by the user,2021-02-10 10:16:44
BRR104,Default site,Amber,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:26.074975Z,2020-12-16T21:18:22.798830Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,8 GB,4,4,"['f0:92:1c:dc:10:02', 'f0:92:1c:dc:10:02']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde85aae0>Z),"['192.168.0.156', 'fe80::3163:c92d:47d5:353d']",No,Off,Up to date,d17bde4f35d14de8a1347e2d95070c1f,1047944361337700030,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:13
BRR106,Default site,raina,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:26.501146Z,2020-12-16T21:18:45.524460Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['18:66:da:38:49:a9', '18:66:da:38:49:a9']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddf12bcf0>Z),"['192.168.0.150', 'fe80::10a8:ebb4:a2e9:59bb']",No,Off,Up to date,2d3f80307cbc47d7bd562776aa682901,1047944551960443511,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:28
BRR126,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:27.752137Z,2020-12-16T21:17:38.633659Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8f:5e', 'f4:39:09:17:8f:5e']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddf165510>Z),"['192.168.0.179', 'fe80::d8db:8d0f:5d39:f2d6']",No,Off,Up to date,1b445340ab89497b9e1f0d3d25d96311,1047943990846414663,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:44
BRR111,Default site,Claudia,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:29.079673Z,2020-12-16T21:17:46.711114Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:de:38:f1', '18:60:24:de:38:f1']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddf1658a0>Z),"['192.168.0.161', 'fe80::f47d:8233:e394:37c8']",No,Off,Up to date,c889c8b8a6bb4ddab57db1344f6861cc,1047944058617983398,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:50
BRR109,Default site,Craig,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:29.137164Z,2020-12-16T21:18:48.085524Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['50:9a:4c:42:fa:76', '50:9a:4c:42:fa:76']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9df1278300>Z),"['192.168.0.165', 'fe80::fd5e:97ee:ea94:63db']",No,Off,Requires patching,b2ffa30185c943da9722cdefb7a98a84,1047944573435280910,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:54
BRR121VM,Default site,Rachel,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:29.797192Z,2020-11-23T16:30:19.333269Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,2,2,"['00:15:5d:02:94:0b', '00:15:5d:02:94:0b']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9df12785d0>Z),"['192.168.0.184', 'fe80::1dc:35db:bece:26dc']",No,Off,Up to date,ce9fde26814b40cb875319003dfd4466,1031129535266218240,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:28
BRRTEMPDC,Default site,N/A,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.11.191,2021-03-07T05:16:31.331991Z,2021-02-25T03:41:14.893193Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,8 GB,1,1,"['00:15:5d:02:94:07', '00:15:5d:02:94:07']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddf01c3c0>Z),"['192.168.0.17', 'fe80::f941:d6a2:88ab:a4fe']",No,Off,Up to date,a1490fd933bf43799af0c6a27be4af72,1098871366403757983,N/A,N/A,['Fallback'],Not disabled by the user,2021-02-25 10:24:04
BRR138VM,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:32.196803Z,2020-11-23T16:30:14.322813Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['00:15:5d:02:94:11', '00:15:5d:02:94:11']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddf01cab0>Z),"['192.168.0.142', 'fe80::8e4:593e:93ef:5c87']",No,Off,Up to date,242660ee2d934e2187bac75f283969ec,1031129493230902121,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:09
BRR122VM,Default site,daniel,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:32.196803Z,2020-11-23T16:30:17.589329Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,2,2,"['00:15:5d:02:94:0a', '00:15:5d:02:94:0a']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0ca1e0>Z),"['192.168.0.189', 'fe80::fcd7:11c3:1e73:14f0']",No,Off,Up to date,358154fb339b49e595801593770fc23a,1031129520670039774,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:10
BRR112,Default site,Dora,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:33.152175Z,2020-12-16T21:18:26.860282Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,4,4,"['18:60:24:de:35:a4', '18:60:24:de:35:a4']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0ca750>Z),"['192.168.0.137', 'fe80::55b7:13fd:2610:156e']",No,Off,Requires patching,568a2ef23f3d453fa81377846ea833b4,1047944395403840336,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:48
BRR114,Default site,angelica,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:33.152175Z,2020-12-16T21:17:56.756523Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,4,4,"['18:60:24:e4:5f:07', '18:60:24:e4:5f:07']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f4d20>Z),"['192.168.0.149', 'fe80::9ca3:d34:80a5:f31d']",No,Off,Up to date,1c54afb106e24956abb8a28cc1885866,1047944142856389064,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:47
BRR123VM,Default site,ryan,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:33.825899Z,2020-11-23T16:30:17.904214Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,2,2,"['00:15:5d:02:94:09', '00:15:5d:02:94:09']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f4f60>Z),"['192.168.0.190', 'fe80::713b:ff54:b362:1f0']",No,Off,Up to date,761b4f6055b84d4dab12898a37fe0bf2,1031129523287285613,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:00
BRR137,Default site,Stephanie,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:34.910733Z,2020-12-16T23:00:07.353494Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,8,8,"['88:51:fb:71:ab:52', '88:51:fb:71:ab:52']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f4e70>Z),"['192.168.0.155', 'fe80::c14d:72f1:8fbc:8a01']",No,Off,Up to date,836a344ce39d4511a08e353382f51072,1047995570060735996,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 22:28:00
BRR116,Default site,robert.connally,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:36.004846Z,2020-12-16T21:17:48.631691Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['f0:92:1c:dc:4e:0a', 'f0:92:1c:dc:4e:0a']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f40c0>Z),"['192.168.0.120', 'fe80::9e1:cd58:939f:8329']",No,Off,Requires patching,07d41b239b814140961f387466e25ce9,1047944074724113103,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:52
Dora-PC,Default site,kaley,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:37.167341Z,2020-12-16T23:07:54.577700Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,4,4,['8c:dc:d4:3c:89:b6'],Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f4660>Z),['192.168.0.127'],No,Off,Requires patching,10fd8f9bb18f43d09eaa1d38b674051a,1047999489361360238,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 17:11:22
BRRFILESHARE1,Default site,N/A,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:37.167341Z,2021-01-26T15:14:23.519269Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,4 GB,4,4,"['00:15:5d:02:94:04', '00:15:5d:02:94:04']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f47b0>Z),"['192.168.0.15', 'fe80::c1a2:98da:ad06:8372']",No,Off,Up to date,c38874931435471ca4a606bf9ec8811e,1077476965152203148,N/A,N/A,['Fallback'],Not disabled by the user,2021-02-25 14:27:36
BRR131,Default site,Lonnie,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:38.057540Z,2020-12-16T21:18:57.039278Z,Healthy,laptop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['c8:d9:d2:1e:94:49', 'c8:d9:d2:1e:94:49']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f45a0>Z),"['192.168.0.126', 'fe80::140c:38cd:7d99:2397']",No,Off,Up to date,bf9ebf91a5ef47eeba10517cf8f64af0,1047944648563660981,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:44
BRR127,Default site,Receptionist,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:39.101779Z,2020-12-16T21:17:43.059683Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8c:38', 'f4:39:09:17:8c:38']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f4960>Z),"['192.168.0.188', 'fe80::9d57:efa4:fca8:59b7']",No,Off,Up to date,be332859e8294c8ebbbacfa817ed4beb,1047944027982784682,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:45
BRR103,Default site,kim,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:44.640122Z,2020-12-16T21:17:49.764613Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,8,8,"['f4:8e:38:9c:80:a7', 'f4:8e:38:9c:80:a7']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9ddd0f4810>Z),"['192.168.0.133', 'fe80::5d15:d01d:9f2e:fd2b']",No,Off,Requires patching,f46949d435c14e748e21d35cadf99ea4,1047944084203240237,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:23
brr120,Default site,sammie,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:44.941603Z,2020-12-16T21:17:56.086559Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:f8:1f:67', '18:60:24:f8:1f:67']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9150>Z),"['192.168.0.177', 'fe80::d50a:b580:3e40:4d4a']",No,Off,Requires patching,6683e4c11a9e489c9c18904d66699f7b,1047944137261187470,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:50
BRR107,Default site,monica,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:47.286177Z,2020-12-16T21:18:56.009190Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,8 GB,4,4,"['18:66:da:42:b1:f8', '18:66:da:42:b1:f8']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9d20>Z),"['192.168.0.140', 'fe80::49ad:8fa:c462:a1c0']",No,Off,Requires patching,dfa3909240964a1e8124ea01cf7fde5a,1047944639906616296,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:46
BRR128,Default site,maryelizabeth,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:47.855871Z,2020-12-16T21:17:48.832278Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8b:66', 'f4:39:09:17:8b:66']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9420>Z),"['192.168.0.178', 'fe80::fd60:226b:c9b2:69e6']",No,Off,Up to date,93c696071d7f46ec8cd07b589e7b718b,1047944076401834722,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:46
BRR125,Default site,paul,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:50.788817Z,2020-12-16T21:17:42.734970Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8d:5f', 'f4:39:09:17:8d:5f']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9390>Z),"['192.168.0.186', 'fe80::35aa:75ba:d11a:f77c']",No,Off,Up to date,7f520c6bfae94864bc9ef61694897087,1047944025264875462,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:48
brr119,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:50.911500Z,2020-12-16T21:18:02.403676Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:f8:25:25', '18:60:24:f8:25:25']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9de0>Z),"['192.168.0.174', 'fe80::15ef:f9e0:cb:e48c']",No,Off,Requires patching,cf1cecb4b80c45afb6aaa2efa603d3b2,1047944190252026017,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:46
BRR135,Default site,amber,Default Group,A,Bemis Roach & Reed,47.220.191.246,4.6.12.241,2021-03-07T05:16:51.503297Z,2020-11-09T18:36:11.283282Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,8 GB,8,8,"['f8:b1:56:da:18:0c', 'f8:b1:56:da:18:0c']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9660>Z),"['192.168.1.70', 'fe80::3c8a:4d23:3888:af08']",No,Off,Requires patching,c4da94b1f6c242ef8c6f513bd8ade73b,1021046025385105996,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:46
BRRDC1,Default site,N/A,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:51.567409Z,2021-01-26T15:19:12.930537Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,8 GB,4,4,"['00:15:5d:02:94:0e', '00:15:5d:02:94:0e']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9d80>Z),"['192.168.0.10', 'fe80::dd85:1c4f:9b27:7c76']",No,Off,Up to date,7dc81600cb36478aa3060ac56de6310d,1077479392899359694,N/A,N/A,['Fallback'],Not disabled by the user,2021-02-25 04:40:13
BRR105,Default site,Melissa,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:52.127981Z,2020-12-16T21:19:16.034464Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['18:66:da:38:4a:7a', '18:66:da:38:4a:7a']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9b40>Z),"['192.168.0.157', 'fe80::eda4:e04:eeb0:284b']",No,Off,Requires patching,693d0f8be527440b896180a4278b2101,1047944807913668687,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:54
BRR124,Default site,Lloyd,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:52.676731Z,2020-12-16T21:17:46.999418Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['f4:39:09:17:90:46', 'f4:39:09:17:90:46']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9090>Z),"['192.168.0.116', 'fe80::6cc4:165f:f519:fe8c']",No,Off,Up to date,81421478b54349978610d6ec0a188bf2,1047944061008736915,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:00:51
BRR108,Default site,janna,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:53.387861Z,2021-02-17T20:25:28.955147Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['50:9a:4c:42:fc:80', '50:9a:4c:42:fc:80']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9c60>Z),"['192.168.0.160', 'fe80::39c1:104f:4de7:c6b3']",No,Off,Requires patching,989c5449a9074b02b6592bfee6348a4e,1093578608237096368,N/A,N/A,['Fallback'],Not disabled by the user,2021-03-06 10:01:09
BRRAPP1,Default site,N/A,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.6.12.241,2021-03-07T05:16:53.769967Z,2021-01-26T15:15:37.222413Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,16 GB,4,4,"['00:15:5d:02:94:03', '00:15:5d:02:94:03']",Online,Connected,Up to date,Completed( <built-in method isoformat of datetime.datetime object at 0x7f9dde8e9cf0>Z),"['192.168.0.14', 'fe80::b1cd:ea0d:eca8:e776']",No,Off,Up to date,2377847b688647cf9249e55465af89d6,1077477583417808551,N/A,N/A,['Fallback'],Not disabled by the user,2021-02-25 04:11:41
