Endpoint Name,Site,Last Logged In User,Group,Domain,Account,Console Visible IP,Agent Version,Last Active,Subscribed On,Health Status,Device Type,OS,OS Version,Architecture,Memory,CPU Count,MAC Address,Management Connectivity,Network Status,Update Status,Scan Status,IP Addresses,Pending Uninstall,Disk Encryption,Vulnerability Status,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Locations
CCMC-324,Default site,System4,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:38.960571Z,2020-05-13T03:42:28.378385Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:67:14,Online,Connected,Up to date,N/A,"fe80::a03e:2a7e:5192:f3c6, 192.168.2.132",No,Off,Up to date,018989f64cd4402f8ef259f97861d506,8.90137E+17,N/A,N/A,Fallback
CCMC-347,Default site,agolson,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:27.558545Z,2020-05-13T06:18:33.418998Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6e:57,Online,Connected,Up to date,N/A,"192.168.2.125, fe80::55fb:4656:3180:f862",No,Off,Up to date,d7aebfe53ec340dcb3ec5ffdf8583abc,8.90215E+17,N/A,N/A,Fallback
CCMC-343,Default site,sjones,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:16.055396Z,2020-05-13T06:14:30.557735Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:6d:38,Online,Connected,Up to date,N/A,"192.168.2.127, fe80::b4c6:c780:8961:f0a7",No,Off,Up to date,07fdac2ff8964e14b8353c861a02b6c8,8.90213E+17,N/A,N/A,Fallback
CCMC-346,Default site,jrambo,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:09.153970Z,2020-05-13T06:12:19.721799Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:67:00,Online,Connected,Up to date,N/A,"fe80::bdea:12fb:803d:c86b, 192.168.2.123",No,Off,Up to date,220fbde7f25c4085aeda03593cae39c1,8.90212E+17,N/A,N/A,Fallback
CCMC-360,Default site,sdiaz,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:08.834315Z,2020-05-13T07:21:55.054986Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6e:13,Online,Connected,Up to date,Completed (2020-05-13T14:23:29.919153Z),10.3.244.32,No,Off,Up to date,f58289ba4aee4490b4399b2900913126,8.90247E+17,N/A,N/A,Fallback
CCMC-312,Default site,sbrooks,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:08.268107Z,2020-05-13T02:45:45.009296Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6a:ed,Online,Connected,Up to date,Aborted (2020-05-13T02:50:28.467635Z),10.3.244.190,No,Off,Up to date,58fb3c6a2a54462fa5ebb14d6ba2b913,8.90108E+17,N/A,N/A,Fallback
CCMCRDS01,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,64.20.236.4,4.1.4.82,2020-08-04T22:34:00.254057Z,2020-07-17T02:11:09.771806Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,16 GB,4,"02:00:4c:4f:4f:50, 00:50:56:b2:1c:02",Online,Connected,Up to date,Completed (2020-07-17T10:55:07.684183Z),"169.254.119.172, fe80::e40d:6306:b6d8:77ac, 10.21.31.242",No,Off,Requires patching,a10abe145c4d420bb2a669186011500c,9.37201E+17,N/A,N/A,Fallback
CCMC-321,Default site,mminshew,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:14.896952Z,2020-05-13T23:18:35.814718Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:67:60,Online,Connected,Up to date,In progress (2020-05-13T23:19:52.323795Z),10.3.244.50,No,Off,Up to date,9179071f2da94f2c95b0d3a59f0ce747,8.90729E+17,N/A,N/A,Fallback
CCMC-326,Default site,mcasey,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:32.720665Z,2020-05-13T04:29:22.269220Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:53,Online,Connected,Up to date,Completed (2020-05-13T06:33:50.322987Z),"fe80::702c:a1ca:765f:ccd7, 192.168.2.131",No,Off,Up to date,321378de0cc24c29bbcd8d59b5ef4982,8.9016E+17,N/A,N/A,Fallback
CCMCRDSBROKER,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,64.20.236.4,4.1.4.82,2020-08-04T22:34:42.593516Z,2020-07-02T14:26:19.222596Z,Healthy,server,Windows,"Windows Server 2016 Standard,14393",64 bit,8 GB,4,00:50:56:b2:2d:18,Online,Connected,Up to date,Completed (2020-07-02T16:30:29.547696Z),"fe80::5919:fbc5:14f6:6dbc, 10.21.31.245",No,Off,Up to date,8addb63a12ce40f8b1c2ea5b395bd6ea,9.26699E+17,N/A,N/A,Fallback
CCMCLP114,Default site,jwilliams,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:33.807872Z,2020-05-12T16:37:37.492142Z,Healthy,laptop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,8,d8:12:65:8a:58:b3,Online,Connected,Up to date,Completed (2020-05-14T14:59:32.805404Z),10.3.244.232,No,Off,Up to date,01710a9106cf4c64b1c38d5e6b3b3a0b,8.89802E+17,N/A,N/A,Fallback
CCMC-344,Default site,asmiley,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:35.290995Z,2020-05-13T06:13:42.049647Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:6c:20,Online,Connected,Up to date,N/A,"fe80::8f2:2eae:c5e0:d756, 192.168.2.129",No,Off,Up to date,cfdbe2b722a64fb7bf612845a816a1bb,8.90213E+17,N/A,N/A,Fallback
CCMC-304,Default site,tkirkpat,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:44.870401Z,2020-05-13T02:38:46.975542Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:6f:20,Online,Connected,Up to date,In progress (2020-05-13T02:41:32.226246Z),10.3.244.130,No,Off,Up to date,b7c19cbc32514778972ee27a4f709b34,8.90105E+17,N/A,N/A,Fallback
CCMC-313,Default site,mburdick,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:14.180883Z,2020-05-13T18:16:19.505770Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:6f:49,Online,Connected,Up to date,N/A,10.3.244.229,No,Off,Up to date,ba1c7e75b6e8468995d1d7b4c2731a6c,8.90576E+17,N/A,N/A,Fallback
CCMC-353,Default site,mereman,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:02.077016Z,2020-05-13T06:49:47.474131Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6e:05,Online,Connected,Up to date,N/A,10.3.244.108,No,Off,Up to date,5f6a812e98a24392a0298081c25897eb,8.90231E+17,N/A,N/A,Fallback
CCMC-361,Default site,srosales,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:08.382270Z,2020-05-13T07:21:33.234437Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:6e:03,Online,Connected,Up to date,N/A,10.3.244.63,No,Off,Up to date,dde0baf7b80d4fb3a70c0f03fbeb4634,8.90247E+17,N/A,N/A,Fallback
CCMC-309,Default site,dlongley,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:06.507968Z,2020-05-13T02:40:26.409395Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6d:dd,Online,Connected,Up to date,N/A,192.168.2.154,No,Off,Up to date,8ff7a539ad714df6b58717f2c7aea85c,8.90105E+17,N/A,N/A,Fallback
CCMC-358,Default site,ssocong,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:16.851343Z,2020-05-13T06:56:28.116418Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:68:ae,Online,Connected,Up to date,Aborted (2020-05-13T06:58:38.701232Z),10.3.244.76,No,Off,Up to date,bab18b40b99e4c41a6abbe5201ae010c,8.90234E+17,N/A,N/A,Fallback
CCMC-338,Default site,sbarker,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:26.700799Z,2020-05-13T05:25:46.359983Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:68:9e,Online,Connected,Up to date,N/A,10.3.244.49,No,Off,Up to date,20486187929e4e8a843c3c241799cb3c,8.90189E+17,N/A,N/A,Fallback
CCMCLP116,Default site,tgilbrea,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:09.206399Z,2020-05-12T16:39:28.408082Z,Healthy,laptop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,8,d8:12:65:8a:58:71,Online,Connected,Up to date,Completed (2020-05-14T15:04:32.446249Z),10.3.244.243,No,Off,Up to date,87dcce0f0daf4e3dabfbeb9562fa2482,8.89803E+17,N/A,N/A,Fallback
CCMC-364,Default site,sratliff,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:34.478016Z,2020-05-13T07:46:16.750346Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6e:dd,Online,Connected,Up to date,N/A,10.3.244.39,No,Off,Up to date,2486f5c759174ea5882cdc6d074a132c,8.90259E+17,N/A,N/A,Fallback
CCMC-374,Default site,tntadmin,Default Group,WORKGROUP,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:16.714586Z,2020-05-13T08:51:08.617122Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6c:06,Online,Connected,Up to date,Completed (2020-05-13T12:18:28.841626Z),10.3.244.18,No,Off,Up to date,c5976114c7fc403b85d952769299493a,8.90292E+17,N/A,N/A,Fallback
CCMC-317,Default site,bstrawbr,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:12.804244Z,2020-05-13T23:17:23.207134Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:67:d9,Online,Connected,Up to date,N/A,10.3.244.204,No,Off,Up to date,3f9f65392d7949b980f58fa14e46a4f7,8.90728E+17,N/A,N/A,Fallback
CCMCQBC1,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:07.015785Z,2020-07-01T20:23:14.754143Z,Healthy,server,Windows,"Windows Server 2008 R2 Enterprise,7601 SP1",64 bit,8 GB,4,"02:00:4c:4f:4f:50, 00:15:5d:f4:14:03",Online,Connected,Up to date,Completed (2020-07-01T22:04:49.697731Z),"169.254.104.217, fe80::d456:c128:4fa4:68d9, fe80::5003:c887:95b0:88bc, 10.3.244.201",No,Off,Requires patching,68fd1bd2fd2943e5bf1ad8b8cc70b92f,9.26154E+17,N/A,N/A,Fallback
CCMCDC2,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:33.700700Z,2020-07-02T14:00:01.602952Z,Healthy,server,Windows,"Windows Server 2008 R2 Enterprise,7601 SP1",64 bit,6 GB,4,"00:15:5d:f4:14:00, 02:00:4c:4f:4f:50",Online,Connected,Up to date,Completed (2020-07-02T15:47:11.790198Z),"fe80::a9fd:2c4a:4c37:411f, 10.3.244.14, fe80::3c65:edc7:facd:55e, 169.254.5.94",No,Off,Requires patching,9a7f15a392924f69a8c0fb41e9c96e80,9.26686E+17,N/A,N/A,Fallback
CCMCVH2,Default site,N/A,Default Group,WORKGROUP,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:13.991637Z,2020-07-02T14:31:41.570358Z,Healthy,server,Windows,"Windows Server 2012 R2 Standard,9600",64 bit,128 GB,16,"84:2b:2b:52:e6:01, 84:2b:2b:52:e5:fd, 84:2b:2b:52:e5:ff",Online,Connected,Up to date,Completed (2020-07-02T15:13:50.234183Z),"169.254.237.91, fe80::21c5:b5a1:aa4c:ed5b, fe80::4db6:27a0:ab2b:d80a, 10.3.244.20, fe80::90e6:b:9d8c:2b9c, 169.254.43.156",No,Off,Up to date,89412f5538ee4cf48c8dc908a1de49c5,9.26702E+17,N/A,N/A,Fallback
CCMC-310,Default site,tcasey,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:06.667288Z,2020-05-13T02:45:31.430297Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:69:20,Online,Connected,Up to date,N/A,192.168.2.153,No,Off,Up to date,e5b4c4e554614c6da8f572719ee2cff8,8.90108E+17,N/A,N/A,Fallback
CCMC-372,Default site,hramirez,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:21.548990Z,2020-05-13T08:15:17.280872Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6d:24,Online,Connected,Up to date,In progress (2020-05-13T08:16:33.884612Z),10.3.244.195,No,Off,Requires patching,9c5d3c223a1449b7bfe728ce5164172f,8.90274E+17,N/A,N/A,Fallback
CCMC-337,Default site,nmorales,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:42.773847Z,2020-05-13T05:22:14.515345Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:67:1e,Online,Connected,Up to date,N/A,10.3.244.216,No,Off,Up to date,ffe85ffd5f5d48179a28d7ecd01c7031,8.90187E+17,N/A,N/A,Fallback
CCMC-369,Default site,cboatrig,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:19.435730Z,2020-05-13T08:30:13.296978Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,20:79:18:b6:f8:55,Online,Connected,Up to date,Completed (2020-05-13T12:15:29.645714Z),10.3.244.173,No,Off,Up to date,c3b190e55dee47809bfe84f5616f47fa,8.90281E+17,N/A,N/A,Fallback
CCMC-306,Default site,pbarnett,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:22.850889Z,2020-05-13T02:42:40.795038Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6d:db,Online,Connected,Up to date,N/A,10.3.244.218,No,Off,Up to date,f1dfeeda0afc4fb0ad8b8d1de6eda80b,8.90106E+17,N/A,N/A,Fallback
CCMC-365,Default site,user,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:22.006650Z,2020-05-13T07:46:27.701473Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:68:94,Online,Connected,Up to date,N/A,10.3.244.9,No,Off,Up to date,508fec8ab05e4e46ade4448c0f5fcffa,8.90259E+17,N/A,N/A,Fallback
CCMC-300,Default site,N/A,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:38.916486Z,2020-07-01T20:29:22.736021Z,Healthy,server,Windows,"Windows Server 2008 R2 Standard,7601 SP1",64 bit,8 GB,4,64:51:06:f9:ff:ed,Online,Connected,Up to date,Completed (2020-07-01T23:47:25.508324Z),"fe80::7936:f2d1:803a:774d, 10.3.244.45",No,Off,Requires patching,6148bfe1e67f4319882c3b37e4b9b6a6,9.26157E+17,N/A,N/A,Fallback
CCMC-330,Default site,jhorner,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:31.721238Z,2020-05-13T04:36:58.475702Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6b:b2,Online,Connected,Up to date,Completed (2020-05-13T08:00:10.792839Z),10.3.244.147,No,Off,Up to date,43ceec5701534dca92ed726148011dda,8.90164E+17,N/A,N/A,Fallback
CCMC-352,Default site,klopez,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T21:55:29.556206Z,2020-05-13T18:48:45.155685Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6e:53,Offline,Connected,Up to date,Completed (2020-05-14T13:30:16.871885Z),10.3.244.124,No,Off,Up to date,74c312e70a484e8487922a2d44c4bed9,8.90593E+17,N/A,N/A,Fallback
CCMC-339,Default site,asabordo,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:05.400985Z,2020-05-13T18:29:28.120588Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:66:9e,Online,Connected,Up to date,Completed (2020-05-13T21:53:55.433307Z),10.3.244.31,No,Off,Up to date,88716487d1cc4ee2af30be71f4357a9f,8.90583E+17,N/A,N/A,Fallback
CCMC-378,Default site,jrankin,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:36.264357Z,2020-05-13T08:59:07.834393Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,a0:1e:0b:0d:66:ec,Online,Connected,Up to date,N/A,"fe80::d950:914e:390c:517e, 192.168.2.136",No,Off,Up to date,d062de3ca04e4a089524b0b1bb8600fd,8.90296E+17,N/A,N/A,Fallback
CCMC-305,Default site,ezarate,Default Group,CCMC,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:34:24.916847Z,2020-05-13T16:51:27.794934Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6d:d5,Online,Connected,Up to date,Completed (2020-05-13T20:27:52.615656Z),10.3.244.30,No,Off,Up to date,6f8c550916e148078dfdf26f32e4e376,8.90534E+17,N/A,N/A,Fallback
CCMC-345,Default site,crice,Default Group,COLEMAN,Coleman County Medical Center,208.10.145.250,4.1.4.82,2020-08-04T22:00:15.237530Z,2020-07-02T00:45:17.570161Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,a0:1e:0b:0d:6f:4f,Offline,Connected,Up to date,Completed (2020-07-02T04:26:34.074344Z),"192.168.2.128, fe80::4ca6:92d8:dfad:27a1",No,Off,Up to date,4c87a9efe9254a7ab3bb2894837a7d80,9.26286E+17,N/A,N/A,Fallback
